Stock,Symbol,Sector,Strategy Bucket,Suggested Allocation (%),Max Investment (₹),CMP,Calculated Investment (₹),Final Investment (₹),Quantity,Status
IOC,IOC,Energy,Tactical/Cyclical,2.0,100000.0,134.44,100000.0,99888.92,743,OK
ITC,ITC,FMCG,Tactical/Cyclical,2.0,100000.0,298.45,100000.0,99980.75,335,OK
MAZDOCK,MAZDOCK,Defence,Tactical/Cyclical,2.0,100000.0,2328.1,100000.0,97780.2,42,OK
NATIONALUM,NATIONALUM,Metal,Tactical/Cyclical,1.0,50000.0,411.75,50000.0,49821.75,121,OK
NESTLEIND,NESTLEIND,FMCG,High Quality Compounders,3.0,150000.0,1222.8,150000.0,149181.6,122,OK
ONGC,ONGC,Energy,Tactical/Cyclical,2.0,100000.0,286.65,100000.0,99754.2,348,OK
PAYTM,PAYTM,Fintech,Growth Leaders,2.0,100000.0,1028.45,100000.0,99759.65,97,OK
PNCINFRA,PNCINFRA,Infra,Tactical/Cyclical,1.0,50000.0,171.73,50000.0,49973.43,291,OK
POWERMECH,POWERMECH,Infra,Tactical/Cyclical,1.0,50000.0,1948.0,50000.0,48700.0,25,OK
PREMIERPOL,PREMIERPOL,Smallcap,Tactical/Cyclical,1.0,50000.0,0.0,0.0,0.0,0,No CMP
SBIN,SBIN,Banking,High Quality Compounders,4.0,200000.0,1030.4,200000.0,199897.6,194,OK
SOLARINDS,SOLARINDS,Defence,Growth Leaders,2.0,100000.0,13406.0,100000.0,93842.0,7,OK
SUZLON,SUZLON,Energy,Tactical/Cyclical,1.0,50000.0,41.55,50000.0,49984.65,1203,OK
TECHM,TECHM,IT,Tactical/Cyclical,2.0,100000.0,1473.4,100000.0,98717.8,67,OK
TRENT,TRENT,Retail,Growth Leaders,2.0,100000.0,3823.0,100000.0,99398.0,26,OK
WIPRO,WIPRO,IT,Tactical/Cyclical,2.0,100000.0,204.72,100000.0,99903.36,488,OK
ZENTEC,ZENTEC,Industrial,Tactical/Cyclical,1.0,50000.0,1424.3,50000.0,49850.5,35,OK
